bootstrapNumber,dist,shape,rate,scale,mean,sd
81,gamma,5.361005876811599,1.1526666766256903,0.8675534916367966,4.650959367113289,2.00872
82,gamma,2.879614846347407,0.5258360592010299,1.9017334062624538,5.476259750468187,3.2271328
83,gamma,117.7165626618806,24.039389225691565,0.04159839464354078,4.896820029690007,0.4513312
84,gamma,4.296079476008879,0.817554665197673,1.2231597990554117,5.254791708601099,2.535241600000001
85,gamma,12.900882041458502,2.705365063193067,0.3696358815322794,4.768628905938465,1.327650688
86,gamma,18.390389748305385,3.809423726260539,0.26250689654354475,4.827604139053867,1.1257350400000001
87,gamma,9.335274692887474,2.1240254826782587,0.4708041443735716,4.395086014277143,1.4384800000000004
88,gamma,4.419028823311927,0.8858462649819099,1.1288640473304037,4.9884827627536135,2.3730399999999996
89,gamma,3.308452659667042,0.7168433138811038,1.3950049901223753,4.615307969819169,2.5373958400000007
90,gamma,8.48992722303719,1.7384301276463185,0.5752316323198517,4.883674694784429,1.6760800000000002
91,gamma,18.76944568127677,3.9746530558822486,0.25159428658057587,4.7222852956937,1.09
92,gamma,27.069207457436832,5.843286445491584,0.1711365700327005,4.632531317769337,0.890390656
93,gamma,8.645276113255651,1.777784586927155,0.5624978455508317,4.862949187898372,1.6539040000000005
94,gamma,10.062133767899212,2.0883804165374893,0.4788399623369331,4.818151754450041,1.5189218560000004
95,gamma,4.3654802365862055,0.9236186513516699,1.0826979279127267,4.726496406495844,2.2621599999999997
96,gamma,5.549736814616599,1.3067200031712851,0.7652748848820674,4.24707420193149,1.8028253440000002
97,gamma,4.287167417112679,0.7983502706648525,1.2525830287089612,5.370033147909374,2.5935328
98,gamma,4.656876884018641,1.0838786339304272,0.9226125220069508,4.296492926640309,1.9909792000000002
99,gamma,7.663871863335857,1.446621113663398,0.6912660063889275,5.297774096444647,1.9136800000000003
100,gamma,2.2807644498857673,0.4077708177157101,2.45235793380678,5.5932507938218174,3.7036000000000007
